ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"ENSMUSG00000047757"	"Fancb"	chrX	+	164995343	164995771	164995343	164995422	164995886	164996121
21	"ENSMUSG00000041380"	"Htr2c"	chrX	+	147169569	147169770	147169569	147169675	147182979	147183152
26	"ENSMUSG00000031425"	"Plp1"	chrX	+	136831952	136832214	136831952	136832109	136834154	136834228
29	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	135751944	135752017	135751944	135751976	135778905	135780786
47	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	101080100	101080871	101080707	101080871	101079699	101079808
49	"ENSMUSG00000033460"	"Armcx1"	chrX	+	134718919	134719108	134718919	134718992	134719394	134719503
59	"ENSMUSG00000002010"	"Idh3g"	chrX	-	73782005	73782716	73782674	73782716	73781676	73781789
72	"ENSMUSG00000031105"	"Slc25a14"	chrX	+	48623961	48624206	48623961	48624197	48628135	48628183
85	"ENSMUSG00000031065"	"Cdk16"	chrX	+	20696017	20696467	20696017	20696141	20696547	20696645
86	"ENSMUSG00000031065"	"Cdk16"	chrX	+	20697119	20697210	20697119	20697208	20698450	20698528
91	"ENSMUSG00000029034"	"Cpsf3l"	chr4	+	155885564	155886156	155885564	155885703	155886797	155886987
92	"ENSMUSG00000051007"	"Pddc1"	chr7	-	141411797	141411874	141411812	141411874	141409845	141410885
103	"ENSMUSG00000026980"	"Ly75"	chr2	-	60334445	60334564	60334449	60334564	60332924	60332956
107	"ENSMUSG00000060988"	"Galnt13"	chr2	+	55073897	55074104	55073897	55073996	55112820	55118309
120	"ENSMUSG00000039515"	"Ppp2r4"	chr2	+	30438228	30439764	30438228	30438353	30443289	30443397
122	"ENSMUSG00000026798"	"Coq4"	chr2	+	29790456	29790559	29790456	29790530	29795383	29795510
125	"ENSMUSG00000026812"	"Tsc1"	chr2	+	28671765	28672087	28671765	28671881	28672392	28672504
126	"ENSMUSG00000026812"	"Tsc1"	chr2	+	28671765	28672087	28671765	28671923	28672392	28672504
129	"ENSMUSG00000026927"	"Sdccag3"	chr2	-	26385497	26385609	26385540	26385609	26384681	26384821
130	"ENSMUSG00000026927"	"Sdccag3"	chr2	-	26385497	26386063	26385989	26386063	26384681	26384821
132	"ENSMUSG00000026927"	"Sdccag3"	chr2	-	26385497	26386063	26385989	26386063	26385082	26385145
140	"ENSMUSG00000097451"	"Rian"	chr12	+	109606213	109606343	109606213	109606341	109617210	109617349
142	"ENSMUSG00000097451"	"Rian"	chr12	+	109656787	109656840	109656787	109656831	109659722	109659807
148	"ENSMUSG00000057914"	"Cacnb2"	chr2	+	14963905	14963997	14963905	14963982	14971561	14971642
153	"ENSMUSG00000023206"	"Il15ra"	chr2	+	11718263	11718458	11718263	11718342	11723412	11723610
154	"ENSMUSG00000023206"	"Il15ra"	chr2	+	11718263	11718458	11718263	11718342	11724095	11724128
155	"ENSMUSG00000023206"	"Il15ra"	chr2	+	11718263	11718458	11718263	11718342	11730570	11730646
157	"ENSMUSG00000038374"	"Rbm8a"	chr3	+	96629939	96630065	96629939	96630028	96630301	96630361
158	"ENSMUSG00000038374"	"Rbm8a"	chr3	+	96629939	96630065	96629939	96630028	96630305	96630361
160	"ENSMUSG00000027469"	"Tpx2"	chr2	+	152854920	152855015	152854920	152855002	152867186	152867357
167	"ENSMUSG00000025221"	"Kcnip2"	chr19	-	45796278	45797186	45797086	45797186	45795579	45795700
170	"ENSMUSG00000093456"	"Gm20662"	chr9	+	108024102	108024450	108024102	108024323	108040904	108041086
171	"ENSMUSG00000057738"	"Sptan1"	chr2	+	30006622	30006670	30006622	30006646	30007493	30007585
175	"ENSMUSG00000025656"	"Arhgef9"	chrX	-	95054880	95055011	95054942	95055011	95054228	95054290
177	"ENSMUSG00000097855"	"A930007I19Rik"	chr19	-	29520773	29520969	29520847	29520969	29499811	29500079
178	"ENSMUSG00000097855"	"A930007I19Rik"	chr19	-	29520773	29520969	29520847	29520969	29510148	29510329
180	"ENSMUSG00000032480"	"Dhx30"	chr9	-	110115035	110115582	110115490	110115582	110112970	110113090
183	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111502	23111592
184	"ENSMUSG00000035735"	"Dagla"	chr19	-	10270987	10271199	10271010	10271199	10269186	10269325
189	"ENSMUSG00000054874"	"Pcnxl3"	chr19	-	5683276	5683412	5683306	5683412	5681431	5681574
192	"ENSMUSG00000056153"	"Socs6"	chr18	-	88887208	88887333	88887212	88887333	88761951	88762168
193	"ENSMUSG00000056153"	"Socs6"	chr18	-	88887208	88887333	88887212	88887333	88886991	88887065
199	"ENSMUSG00000003033"	"Ap1m1"	chr8	+	72253208	72253633	72253208	72253280	72255696	72255822
201	"ENSMUSG00000089847"	"Timm10b"	chr7	+	105641027	105641228	105641027	105641160	105643310	105643632
202	"ENSMUSG00000089847"	"Timm10b"	chr7	+	105641027	105641228	105641027	105641160	105655621	105655748
206	"ENSMUSG00000024454"	"Hdac3"	chr18	-	37941378	37941766	37941707	37941766	37940952	37941110
214	"ENSMUSG00000025962"	"Fastkd2"	chr1	+	63735462	63735968	63735462	63735571	63737778	63737918
218	"ENSMUSG00000009995"	"Taz"	chrX	+	74282749	74283400	74282749	74283116	74283647	74283693
222	"ENSMUSG00000034116"	"Vav1"	chr17	+	57279099	57279401	57279099	57279284	57295981	57296098
227	"ENSMUSG00000027939"	"Nup210l"	chr3	+	90189420	90189599	90189420	90189595	90190856	90191028
228	"ENSMUSG00000086714"	"0610009E02Rik"	chr2	+	26457672	26457812	26457672	26457780	26458415	26459379
235	"ENSMUSG00000029534"	"St7"	chr6	+	17886003	17886118	17886003	17886117	17905706	17905842
251	"ENSMUSG00000024299"	"Adamts10"	chr17	+	33537278	33537424	33537278	33537327	33537899	33537943
255	"ENSMUSG00000024299"	"Adamts10"	chr17	+	33549479	33550670	33549479	33549609	33551013	33551190
256	"ENSMUSG00000035173"	"Ccdc186"	chr19	-	56807977	56808190	56808060	56808190	56801884	56801989
261	"ENSMUSG00000036775"	"Decr2"	chr17	-	26089963	26090300	26090096	26090300	26087323	26087459
263	"ENSMUSG00000052911"	"Lamb2"	chr9	+	108480057	108480184	108480057	108480143	108480277	108480450
267	"ENSMUSG00000024163"	"Mapk8ip3"	chr17	-	24912735	24912866	24912747	24912866	24908410	24908428
273	"ENSMUSG00000030246"	"Ldhb"	chr6	-	142505411	142505546	142505447	142505546	142501339	142501457
279	"ENSMUSG00000059208"	"Hnrnpm"	chr17	-	33666493	33666685	33666646	33666685	33665491	33665645
280	"ENSMUSG00000038347"	"Tcte2"	chr17	-	13727910	13728022	13727921	13728022	13554012	13554092
281	"ENSMUSG00000038347"	"Tcte2"	chr17	-	13727910	13728022	13727921	13728022	13717499	13717633
